family,genus,species
Sapindaceae,Acer,Acer negundo
Sapindaceae,Acer,Acer rubrum
Asteraceae,Achillea,Achillea millefolium
Lamiaceae,Agastache,Agastache foeniculum
Poaceae,Elymus,Elymus repens
Poaceae,Elymus,Elymus smithii
Poaceae,Poa,Poa nemoralis
Poaceae,Agrostis,Agrostis scabra
Amaryllidaceae,Allium,Allium cernuum
Amaryllidaceae,Allium,Allium stellatum
Betulaceae,Alnus,Alnus incana
Amaranthaceae,Amaranthus,Amaranthus retroflexus
Asteraceae,Ambrosia,Ambrosia artemisiifolia
Asteraceae,Ambrosia,Ambrosia psilostachya
Rosaceae,Amelanchier,Amelanchier alnifolia
Rosaceae,Amelanchier,Amelanchier arborea
Rosaceae,Amelanchier,Amelanchier spicata
Rosaceae,Amelanchier,Amelanchier laevis
Rosaceae,Amelanchier,Amelanchier sanguinea
Fabaceae,Amorpha,Amorpha canescens
Fabaceae,Amphicarpaea,Amphicarpaea bracteata
Poaceae,Andropogon,Andropogon gerardi
Ranunculaceae,Anemone,Anemone cylindrica
Ranunculaceae,Anemone,Anemone patens
Ranunculaceae,Anemone,Anemone quinquefolia
Ranunculaceae,Anemone,Anemone virginiana
Asteraceae,Antennaria,Antennaria parlinii
Asteraceae,Antennaria,Antennaria neglecta
Asteraceae,Antennaria,Antennaria plantaginifolia
Apocynaceae,Apocynum,Apocynum androsaemifolium
Apocynaceae,Apocynum,Apocynum cannabinum
Ranunculaceae,Aquilegia,Aquilegia canadensis
Brassicaceae,Boechera,Boechera divaricarpa
Brassicaceae,Turritis,Turritis glabra
Brassicaceae,Arabis,Arabis hirsuta
Araliaceae,Aralia,Aralia nudicaulis
Caryophyllaceae,Moehringia,Moehringia lateriflora
Poaceae,Aristida,Aristida basiramea
Poaceae,Aristida,Aristida tuberculosa
Rosaceae,Aronia,Aronia melanocarpa
Asteraceae,Artemisia,Artemisia ludoviciana
Apocynaceae,Asclepias,Asclepias exaltata
Apocynaceae,Asclepias,Asclepias incarnata
Apocynaceae,Asclepias,Asclepias ovalifolia
Apocynaceae,Asclepias,Asclepias syriaca
Apocynaceae,Asclepias,Asclepias tuberosa
Apocynaceae,Asclepias,Asclepias verticillata
Apocynaceae,Asclepias,Asclepias viridiflora
Asparagaceae,Asparagus,Asparagus officinalis
Asteraceae,Symphyotrichum,Symphyotrichum oolentangiense
Asteraceae,Symphyotrichum,Symphyotrichum ericoides
